timestamp,date,lon,lat
1620986372,Fri May 14 12:59:32 2021,37.64670225438257,55.75872411363882
1620986373,Fri May 14 12:59:33 2021,37.64665526639127,55.758802943105735
1620986374,Fri May 14 12:59:34 2021,37.64660583996899,55.75888165645716
1620986375,Fri May 14 12:59:35 2021,37.646555692281936,55.75895995102698
1620986376,Fri May 14 12:59:36 2021,37.6465225232479,55.75901085384057
1620986377,Fri May 14 12:59:37 2021,37.64650548807733,55.75903643351163
1620986378,Fri May 14 12:59:38 2021,37.64648812401888,55.759062013378376
1620986380,Fri May 14 12:59:40 2021,37.646452328285534,55.759112329318654
1620986408,Fri May 14 13:00:08 2021,37.64643507597794,55.75913629565292
1620986412,Fri May 14 13:00:12 2021,37.64641703637734,55.75916267335172
1620986413,Fri May 14 13:00:13 2021,37.64639945376873,55.75918878464806
